"filename", "language", "C++", "C", "Log", "Lua", "CMake", "XML", "Shell Script", "HTML", "JavaScript", "CSS", "Markdown", "comment", "blank", "total"
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\vendor\SDL2\include\SDL_surface.h", "C++", 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 785, 69, 998
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\vendor\SDL2\include\SDL_system.h", "C++", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 469, 75, 639
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\vendor\SDL2\include\SDL_syswm.h", "C++", 272, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 38, 387
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\vendor\SDL2\include\SDL_test.h", "C++", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 10, 70
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\vendor\SDL2\include\SDL_test_assert.h", "C++", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 70, 17, 106
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\vendor\SDL2\include\SDL_test_common.h", "C++", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 115, 29, 237
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\vendor\SDL2\include\SDL_test_compare.h", "C++", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 12, 70
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\vendor\SDL2\include\SDL_test_crc32.h", "C++", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 23, 125
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\vendor\SDL2\include\SDL_test_font.h", "C++", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 19, 169
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\vendor\SDL2\include\SDL_test_fuzzer.h", "C++", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 302, 48, 387
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\vendor\SDL2\include\SDL_test_harness.h", "C++", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 21, 135
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\vendor\SDL2\include\SDL_test_images.h", "C++", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 11, 79
"d:\Proyectos de Programación\CaelisChaos\Caelis Chaos\vendor\SDL2\include\SDL_test_log.h", "C++", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 10, 68
